Window	Chr	Chr_start	Chr_end	Track	Density
0	Supercontig_1.1	0	10000	Genes	4
0	Supercontig_1.1	0	10000	PopA.INDEL.fixed	20
0	Supercontig_1.1	0	10000	PopA.INDEL.lungonly	1
0	Supercontig_1.1	0	10000	PopA.SNP.fixed	150
0	Supercontig_1.1	0	10000	PopA.SNP.lungonly	0
0	Supercontig_1.1	0	10000	repeats	0
1	Supercontig_1.1	5000	15000	Genes	7
1	Supercontig_1.1	5000	15000	PopA.INDEL.fixed	8
1	Supercontig_1.1	5000	15000	PopA.INDEL.lungonly	0
1	Supercontig_1.1	5000	15000	PopA.SNP.fixed	158
1	Supercontig_1.1	5000	15000	PopA.SNP.lungonly	0
1	Supercontig_1.1	5000	15000	repeats	0
2	Supercontig_1.1	10000	20000	Genes	8
2	Supercontig_1.1	10000	20000	PopA.INDEL.fixed	5
2	Supercontig_1.1	10000	20000	PopA.INDEL.lungonly	0
2	Supercontig_1.1	10000	20000	PopA.SNP.fixed	144
2	Supercontig_1.1	10000	20000	PopA.SNP.lungonly	0
2	Supercontig_1.1	10000	20000	repeats	0
3	Supercontig_1.1	15000	25000	Genes	8
3	Supercontig_1.1	15000	25000	PopA.INDEL.fixed	1
3	Supercontig_1.1	15000	25000	PopA.INDEL.lungonly	1
3	Supercontig_1.1	15000	25000	PopA.SNP.fixed	68
3	Supercontig_1.1	15000	25000	PopA.SNP.lungonly	0
3	Supercontig_1.1	15000	25000	repeats	0
4	Supercontig_1.1	20000	30000	Genes	7
4	Supercontig_1.1	20000	30000	PopA.INDEL.fixed	4
4	Supercontig_1.1	20000	30000	PopA.INDEL.lungonly	1
4	Supercontig_1.1	20000	30000	PopA.SNP.fixed	97
4	Supercontig_1.1	20000	30000	PopA.SNP.lungonly	0
4	Supercontig_1.1	20000	30000	repeats	0
5	Supercontig_1.1	25000	35000	Genes	8
5	Supercontig_1.1	25000	35000	PopA.INDEL.fixed	14
5	Supercontig_1.1	25000	35000	PopA.INDEL.lungonly	1
5	Supercontig_1.1	25000	35000	PopA.SNP.fixed	150
5	Supercontig_1.1	25000	35000	PopA.SNP.lungonly	0
5	Supercontig_1.1	25000	35000	repeats	0
6	Supercontig_1.1	30000	40000	Genes	8
6	Supercontig_1.1	30000	40000	PopA.INDEL.fixed	14
6	Supercontig_1.1	30000	40000	PopA.INDEL.lungonly	1
6	Supercontig_1.1	30000	40000	PopA.SNP.fixed	116
6	Supercontig_1.1	30000	40000	PopA.SNP.lungonly	1
6	Supercontig_1.1	30000	40000	repeats	0
7	Supercontig_1.1	35000	45000	Genes	4
7	Supercontig_1.1	35000	45000	PopA.INDEL.fixed	20
7	Supercontig_1.1	35000	45000	PopA.INDEL.lungonly	2
7	Supercontig_1.1	35000	45000	PopA.SNP.fixed	114
7	Supercontig_1.1	35000	45000	PopA.SNP.lungonly	1
7	Supercontig_1.1	35000	45000	repeats	0
8	Supercontig_1.1	40000	50000	Genes	3
8	Supercontig_1.1	40000	50000	PopA.INDEL.fixed	25
8	Supercontig_1.1	40000	50000	PopA.INDEL.lungonly	4
8	Supercontig_1.1	40000	50000	PopA.SNP.fixed	120
8	Supercontig_1.1	40000	50000	PopA.SNP.lungonly	0
8	Supercontig_1.1	40000	50000	repeats	0
9	Supercontig_1.1	45000	55000	Genes	4
9	Supercontig_1.1	45000	55000	PopA.INDEL.fixed	22
9	Supercontig_1.1	45000	55000	PopA.INDEL.lungonly	4
9	Supercontig_1.1	45000	55000	PopA.SNP.fixed	152
9	Supercontig_1.1	45000	55000	PopA.SNP.lungonly	1
9	Supercontig_1.1	45000	55000	repeats	0
10	Supercontig_1.1	50000	60000	Genes	7
10	Supercontig_1.1	50000	60000	PopA.INDEL.fixed	18
10	Supercontig_1.1	50000	60000	PopA.INDEL.lungonly	2
10	Supercontig_1.1	50000	60000	PopA.SNP.fixed	157
10	Supercontig_1.1	50000	60000	PopA.SNP.lungonly	1
10	Supercontig_1.1	50000	60000	repeats	0
11	Supercontig_1.1	55000	65000	Genes	5
11	Supercontig_1.1	55000	65000	PopA.INDEL.fixed	6
11	Supercontig_1.1	55000	65000	PopA.INDEL.lungonly	0
11	Supercontig_1.1	55000	65000	PopA.SNP.fixed	129
11	Supercontig_1.1	55000	65000	PopA.SNP.lungonly	0
11	Supercontig_1.1	55000	65000	repeats	0
12	Supercontig_1.1	60000	70000	Genes	3
12	Supercontig_1.1	60000	70000	PopA.INDEL.fixed	4
12	Supercontig_1.1	60000	70000	PopA.INDEL.lungonly	0
12	Supercontig_1.1	60000	70000	PopA.SNP.fixed	153
12	Supercontig_1.1	60000	70000	PopA.SNP.lungonly	0
12	Supercontig_1.1	60000	70000	repeats	0
13	Supercontig_1.1	65000	75000	Genes	5
13	Supercontig_1.1	65000	75000	PopA.INDEL.fixed	9
13	Supercontig_1.1	65000	75000	PopA.INDEL.lungonly	0
13	Supercontig_1.1	65000	75000	PopA.SNP.fixed	155
13	Supercontig_1.1	65000	75000	PopA.SNP.lungonly	0
13	Supercontig_1.1	65000	75000	repeats	0
14	Supercontig_1.1	70000	80000	Genes	7
14	Supercontig_1.1	70000	80000	PopA.INDEL.fixed	18
14	Supercontig_1.1	70000	80000	PopA.INDEL.lungonly	0
14	Supercontig_1.1	70000	80000	PopA.SNP.fixed	147
14	Supercontig_1.1	70000	80000	PopA.SNP.lungonly	1
14	Supercontig_1.1	70000	80000	repeats	0
15	Supercontig_1.1	75000	85000	Genes	6
15	Supercontig_1.1	75000	85000	PopA.INDEL.fixed	12
15	Supercontig_1.1	75000	85000	PopA.INDEL.lungonly	0
15	Supercontig_1.1	75000	85000	PopA.SNP.fixed	162
15	Supercontig_1.1	75000	85000	PopA.SNP.lungonly	1
15	Supercontig_1.1	75000	85000	repeats	0
16	Supercontig_1.1	80000	90000	Genes	6
16	Supercontig_1.1	80000	90000	PopA.INDEL.fixed	14
16	Supercontig_1.1	80000	90000	PopA.INDEL.lungonly	0
16	Supercontig_1.1	80000	90000	PopA.SNP.fixed	181
16	Supercontig_1.1	80000	90000	PopA.SNP.lungonly	0
16	Supercontig_1.1	80000	90000	repeats	0
17	Supercontig_1.1	85000	95000	Genes	6
17	Supercontig_1.1	85000	95000	PopA.INDEL.fixed	19
17	Supercontig_1.1	85000	95000	PopA.INDEL.lungonly	1
17	Supercontig_1.1	85000	95000	PopA.SNP.fixed	171
17	Supercontig_1.1	85000	95000	PopA.SNP.lungonly	0
17	Supercontig_1.1	85000	95000	repeats	0
18	Supercontig_1.1	90000	100000	Genes	6
18	Supercontig_1.1	90000	100000	PopA.INDEL.fixed	14
18	Supercontig_1.1	90000	100000	PopA.INDEL.lungonly	1
18	Supercontig_1.1	90000	100000	PopA.SNP.fixed	141
18	Supercontig_1.1	90000	100000	PopA.SNP.lungonly	1
18	Supercontig_1.1	90000	100000	repeats	0
19	Supercontig_1.1	95000	105000	Genes	6
19	Supercontig_1.1	95000	105000	PopA.INDEL.fixed	9
19	Supercontig_1.1	95000	105000	PopA.INDEL.lungonly	1
19	Supercontig_1.1	95000	105000	PopA.SNP.fixed	152
19	Supercontig_1.1	95000	105000	PopA.SNP.lungonly	1
19	Supercontig_1.1	95000	105000	repeats	0
20	Supercontig_1.1	100000	110000	Genes	5
20	Supercontig_1.1	100000	110000	PopA.INDEL.fixed	9
20	Supercontig_1.1	100000	110000	PopA.INDEL.lungonly	1
20	Supercontig_1.1	100000	110000	PopA.SNP.fixed	172
20	Supercontig_1.1	100000	110000	PopA.SNP.lungonly	1
20	Supercontig_1.1	100000	110000	repeats	0
21	Supercontig_1.1	105000	115000	Genes	7
21	Supercontig_1.1	105000	115000	PopA.INDEL.fixed	14
21	Supercontig_1.1	105000	115000	PopA.INDEL.lungonly	0
21	Supercontig_1.1	105000	115000	PopA.SNP.fixed	151
21	Supercontig_1.1	105000	115000	PopA.SNP.lungonly	1
21	Supercontig_1.1	105000	115000	repeats	0
22	Supercontig_1.1	110000	120000	Genes	6
22	Supercontig_1.1	110000	120000	PopA.INDEL.fixed	23
22	Supercontig_1.1	110000	120000	PopA.INDEL.lungonly	0
22	Supercontig_1.1	110000	120000	PopA.SNP.fixed	183
22	Supercontig_1.1	110000	120000	PopA.SNP.lungonly	0
22	Supercontig_1.1	110000	120000	repeats	0
23	Supercontig_1.1	115000	125000	Genes	5
